SDDID,SDourceId,DetectorId
SD1,1,1
SD2,1,2
SD3,1,3
SD4,1,4
SD5,1,5
SD6,1,6
SD7,1,7
SD8,1,8
SD9,2,1
SD10,2,2
SD11,2,3
SD12,2,4
SD13,2,5
SD14,2,6
SD15,2,7
SD16,2,8
SD17,3,1
SD18,3,2
SD19,3,3
SD20,3,4
SD21,3,5
SD22,3,6
SD23,3,7
SD24,3,8
SD25,4,1
SD26,4,2
SD27,4,3
SD28,4,4
SD29,4,5
SD30,4,6
SD31,4,7
SD32,4,8
SD33,5,1
SD34,5,2
SD35,5,3
SD36,5,4
SD37,5,5
SD38,5,6
SD39,5,7
SD40,5,8
SD41,6,1
SD42,6,2
SD43,6,3
SD44,6,4
SD45,6,5
SD46,6,6
SD47,6,7
SD48,6,8
SD49,7,1
SD50,7,2
SD51,7,3
SD52,7,4
SD53,7,5
SD54,7,6
SD55,7,7
SD56,7,8
SD57,8,1
SD58,8,2
SD59,8,3
SD60,8,4
SD61,8,5
SD62,8,6
SD63,8,7
SD64,8,8
SD65,8,1
SD66,8,2
SD67,8,3
SD68,8,4
SD69,8,5
SD70,8,6
SD71,8,7
SD72,8,8
SD73,10,1
SD74,10,2
SD75,10,3
SD76,10,4
SD77,10,5
SD78,10,6
SD79,10,7
SD80,10,8
SD81,11,1
SD82,11,2
SD83,11,3
SD84,11,4
SD85,11,5
SD86,11,6
SD87,11,7
SD88,11,8
SD89,12,1
SD90,12,2
SD91,12,3
SD92,12,4
SD93,12,5
SD94,12,6
SD95,12,7
SD96,12,8
